Designator,Mid X,Mid Y,Rotation,Layer
C1,168.105,-77.5,270.0,top
C10,179.5,-79.4,0.0,top
C11,172.4,-82.6,0.0,top
C12,175.4,-82.6,0.0,top
C13,172.8,-85.5,180.0,top
C2,169.205,-77.5,270.0,top
C5,168.505,-91.1,180.0,top
C6,168.505,-92.2,180.0,top
C7,156.591,-92.075,270.0,top
C8,176.4,-75.9,0.0,top
C9,179.6,-75.9,0.0,top
J1,145.701536,-84.756755,180.0,top
J3,187.72,-84.7,180.0,top
L1,172.6,-75.9,0.0,top
R1,156.6,-89.2,270.0,top
R2,156.6,-87.11,90.0,top
R3,156.6,-84.3,270.0,top
R4,176.2,-79.4,180.0,top
R5,178.4,-82.6,0.0,top
R6,176.4,-85.5,0.0,top
RV1,175.0,-89.43,0.0,top
U1,162.705,-78.9,270.0,top
U2,160.7,-86.8,180.0,top
U4,172.8,-79.4,180.0,top
